,NSC,Drug_name,Status,MOA,SID
7313,642520.0,STK687015,-,-,54687023
7314,642523.0,4-Hydroxy-3-[(4-hydroxy-2-oxo-1-phenyl-3-quinolyl)-(4-nitrophenyl)methyl]-1-phenyl-quinolin-2-one,-,-,54687025
7315,642565.0,"N-(3-Chlorophenyl)-3-oxo-3-[2-[2-oxo-2-[(5-phenyl-1,3,4-thiadiazol-2-yl)amino]ethyl]hydrazinyl]propanamide",-,-,370001
7316,642570.0,-,-,-,-
7317,642572.0,-,-,-,-
7318,642576.0,-,-,-,-
7319,642581.0,N-[(Z)-1-[4-[Bis(2-cyanoethyl)amino]phenyl]-3-(4-methoxyanilino)-3-oxoprop-1-en-2-yl]-2-chloro-5-nitrobenzamide,-,-,6477309
7320,642592.0,"2,6-diNO2Ph-SO2-Ph",-,-,370024
7321,642594.0,-,-,-,-
7322,642595.0,-,-,-,-
7323,642596.0,3-Benzoyl-1-ethyl-4-hydroxy-1-methyl-4-phenylpiperidinium bromide,-,-,370031
7324,642597.0,"Piperidinium, 1-ethyl-4-hydroxy-4-(4-methoxyphenyl)- 3-[...",-,-,370033
7325,642600.0,"[5-Acetamido-4-[1-[[1-[(5-amino-1,5-dioxo-1-phenylmethoxypentan-2-yl)amino]-3-methyl-1-oxobutan-2-yl]amino]-1-oxopropan-2-yl]oxy-3-hydroxyoxan-2-yl]methyl 11-[(1-nitro-9-oxo-10H-acridine-4-carbonyl)am",-,-,3774228
7326,642614.0,-,-,-,-
7327,642624.0,-,-,-,-
7328,642626.0,-,-,-,-
7329,642638.0,7-Chloro-3-[hydroxy(3-nitrophenyl)acetyl]quinoxalin-2(1H)-one,-,-,370079
7330,642640.0,"[(E)-[(E)-1-[2-(3,5-Diphenylpyrazol-1-yl)-4-methyl-1,3-thiazol-5-yl]-3-(4-nitrophenyl)prop-2-enylidene]amino]thiourea",-,-,5932655
7331,642641.0,-,-,-,-
7332,642642.0,"3(2H)-Pyridazinone, 4,5-dichloro-2-phenyl-",-,-,-
7333,642645.0,-,-,-,-
7334,642649.0,"2-(1,3-Benzodioxol-5-yl)-1-(6-chloro-3-hydroxy-2-quinoxalinyl)-2-hydroxyethanone",-,-,370089
7335,642651.0,-,-,-,-
7336,642704.0,S-N-(Phenethylthiocarbamoyl)-L-glutathione,-,-,-
7337,642728.0,"4a-Chloro-10-ethyl-3-methyl-5-[(4-methylphenyl)sulfonyl-methylsulfanylmethyl]-5H-pyrimido[4,5-b]quinoline-2,4-dione",-,-,370138
7338,642738.0,-,-,-,-
7339,642740.0,"4H-1-Benzopyran-4-one, 2-(2-chlorophenyl)-5,7-dihydroxy-...",-,-,5466794
7340,642899.0,"Methanesulfonate;2,3,8,9-tetramethoxy-5-methyl-12-[8-(2,3,8,9-tetramethoxy-5-methylbenzo[c]phenanthridin-5-ium-12-yl)oxyoctoxy]benzo[c]phenanthridin-5-ium",-,-,24202359
7341,642904.0,7-Methyl-coumarin-4-acetic acid,-,-,370162
7342,642908.0,-,-,-,-
7343,642910.0,[5-[[2-Chloroethyl(nitroso)carbamoyl]amino]-3-hydroxy-2-(hydroxymethyl)-6-methoxyoxan-4-yl] acetate,-,-,370166
7344,642911.0,"[5-[[2-Chloroethyl(nitroso)carbamoyl]amino]-3,4-dihydroxy-6-methoxyoxan-2-yl]methyl dodecanoate",-,-,370167
7345,642912.0,"[5-[[2-Chloroethyl(nitroso)carbamoyl]amino]-3,4-dihydroxy-6-methoxyoxan-2-yl]methyl tetradecanoate",-,-,370168
7346,642913.0,[5-[[2-Chloroethyl(nitroso)carbamoyl]amino]-3-hydroxy-2-(hydroxymethyl)-6-methoxyoxan-4-yl] tetradecanoate,-,-,370169
7347,642914.0,"[5-[[2-Chloroethyl(nitroso)carbamoyl]amino]-3,4-dihydroxy-6-methoxyoxan-2-yl]methyl octadecanoate",-,-,370170
7348,642915.0,Neuro_000320,-,-,370171
7349,642916.0,[5-[[2-Chloroethyl(nitroso)carbamoyl]amino]-3-hydroxy-2-(hydroxymethyl)-6-methoxyoxan-4-yl] hexadecanoate,-,-,370172
7350,642932.0,-,-,-,-
7351,642938.0,-,-,-,-
7352,642940.0,-,-,-,-
7353,642942.0,-,-,-,-
7354,642947.0,"Methanone, [3-(dibromomethyl)-6-chloroquinolin-2-yl] phe...",-,-,370203
7355,642948.0,"(5,8-Dichloro-3-(dibromomethyl)-2-quinolinyl)(phenyl)methanone",-,-,370204
7356,642950.0,(8-Hydroxy-2-quinolinyl)(phenyl)methanone,-,-,370206
7357,642951.0,(8-Methoxy-2-quinolinyl)(phenyl)methanone,-,-,370207
7358,642953.0,(6-Methoxy-3-methylquinolin-2-yl)(phenyl)methanone,-,-,370209
7359,642954.0,"(5,7-Dibromo-8-hydroxy-3-methyl-2-quinolinyl)(phenyl)methanone",-,-,370210
7360,642956.0,-,-,-,-
7361,642957.0,-,-,-,-
7362,642964.0,"4-Hydroxybenzo[b]acridine-6,11-dione",-,-,370220
7363,642968.0,"Benzo[g]quinoline-5,10-dione, 5,10-dihydro- 4-[2-(1-pipe...",-,-,-
7364,642970.0,"1,2,3-Tri-O-acetyl-4-O-(2,3,4,6-tetra-O-acetylhexopyranosyl)-6-S-(2,3,4,6-tetra-O-acetylhexopyranosyl)-6-thiohexopyranose",-,-,370226
7365,642998.0,"6,6,13,13-Tetrachlorodibenzo[d,i][1,3,6,8,2,7]tetraoxadisilecine",-,-,370228
7366,642999.0,"4a,8a-Dihydro-2-quinoxalinyl-N-benzylmethanesulfonamide",-,-,370229
7367,643000.0,2-(1H-imidazol-2-ylmethyl)-4-(1H-imidazol-4-ylmethyl)-1H...,-,-,370230
7368,643001.0,antineoplastic-643001,-,-,-
7369,643004.0,-,-,-,-
7370,643006.0,"[5-[[2-Chloroethyl(nitroso)carbamoyl]amino]-3,4-dihydroxy-6-methoxyoxan-2-yl]methyl octanoate",-,-,370236
7371,643019.0,Triethyl-o-bromo-.alpha.-phosphono-cinnamate,-,-,6477312
7372,643023.0,".alpha.-Phenyl-2,5-dimethoxy-.alpha.-cinnamonitrile",-,-,-
7373,643025.0,"2-(2,5-Dimethoxybenzylidene)-1-tetralone",-,-,-
7374,643026.0,"Diethyl 2,5-dimethoxybenzylidene-malonate",-,-,81758
7375,643027.0,Diethyl p-phenoxybenzalmalonate,-,-,370253
7376,643032.0,m-Phenoxy-.alpha.-phenylcinnamonitrile,-,-,-
7377,643045.0,"3,4-Bis(4-methylphenyl)-1,2,5-triphenyl-2,4-cyclopentadien-1-ol",-,-,370267
7378,643046.0,"1,3,4-Tris(4-methylphenyl)-2,5-diphenyl-2,4-cyclopentadien-1-ol",-,-,370268
7379,643048.0,ZSUDSCKIBFDILN-UHFFFAOYSA-N,-,-,370270
7380,643051.0,"2-Chloro-5H-pyrido[2',1':2,3]imidazo[4,5-b]indole hydroc...",-,-,-
7381,643123.0,"Methyl 5,11-dimethyl-1,5a,6,10b-tetrahydro-2H-pyrido[4,3-b]carbazole-2-carboxylate",-,-,370277
7382,643125.0,"9-Hydroxy-2,5,11-trimethyl-10-(2,2,2-trifluoroethoxy)-6h-pyrido[4,3-b]carbazol-2-ium iodide",-,-,370279
7383,643133.0,-,-,-,-
7384,643134.0,"4-[(E)-3-oxo-2,3-diphenyl-prop-1-enyl]benzonitrile",-,-,5466802
7385,643139.0,5-Nitrofurylmalonic acid diethyl ester,-,-,370288
7386,643158.0,Triethyl-(3-thiofuryl)-phosphono acetate,-,-,370303
7387,643180.0,"3,4,5-Trimethoxybenzylidene acetophenone",-,-,-
7388,643190.0,3-Methoxy-4-benzyloxy-.alpha.-benzoylcinnamonitrile,-,-,6062847
7389,643194.0,N-[Bis(2-chloroethyl)amino-phenoxyphosphoryl]-4-methylaniline,-,-,370335
7390,643238.0,Oxytakatonine Iodide,-,-,370338
7391,643248.0,"23,27-Epoxy-3H-pyrido[2,1-c] [1,4]oxaazacyclohentriacont...",-,-,54600729
7392,643342.0,Pyrophen,-,-,370342
7393,643406.0,Xestoquinone,-,-,122838
7394,643407.0,Halenaquinone,-,-,370346
7395,643412.0,-,-,-,-
7396,643416.0,-,-,-,-
7397,643419.0,-,-,-,-
7398,643439.0,"5-Oxido-6-phenylquinolino[4,3-b]quinoxalin-5-ium",-,-,467007
7399,643476.0,"[3-(Ethoxymethyl)-2,6-dihydro-1,3,5-oxadiazin-4-yl]cyanamide",-,-,370384
7400,643486.0,"1,1,3,3-Tetrabenzyl-2-cyanoguanidine",-,-,370392
7401,643491.0,"Urea, N,N''-methylenebis[N,N'-diethyl-",-,-,370395
7402,643498.0,N-Methyl-N'-(methylsulfamoyl)benzenesulfonohydrazide,-,-,370399
7403,643547.0,"Spiroirida-15(28),16-dienal, 14,15-dihydro- 26(R),29-dih...",-,-,-
7404,643590.0,4-Chloro-N-(4-methylphenyl)-N-[3-[4-[(4-nitrophenyl)diazenyl]-5-oxo-3-phenyl-4H-pyrazol-1-yl]-3-oxopropanoyl]benzamide,-,-,370459
7405,643591.0,"3-(4-((4-Chlorophenyl)diazenyl)-3,5-diphenyl-1H-pyrazol-1-yl)-N-(4-methylphenyl)-3-oxopropanamide",-,-,370460
7406,643593.0,"3-(4-((2-Chlorophenyl)diazenyl)-3,5-diphenyl-1H-pyrazol-1-yl)-N-(4-methylphenyl)-3-oxopropanamide",-,-,370462
7407,643596.0,N-(4-Chlorophenyl)-6-((2-chlorophenyl)diazenyl)-2-oxo-2H-chromene-3-carboxamide,-,-,370465
7408,643599.0,N-(2-Cyanoethyl)-N-(4-(((4-methoxyphenyl)imino)methyl)-3-methylphenyl)benzenesulfonamide,-,-,370469
7409,643713.0,"1-Acetyl-3-(4-methoxyphenyl)-1H-[1,3,4]oxadiazino[5,6-b]quinoxaline",-,-,370491
7410,643724.0,"1-[(2R,6R)-6-Methylpiperidin-2-yl]nonan-3-ol",-,-,370503
7411,643735.0,"1,2-Benzo-8-(D,L-alanyl)-3-phenoxazone nitrate salt",-,-,5459200
7412,643736.0,(5Z)-3-(4-Bromophenyl)-2-(2-chloro-5-nitro-phenyl)-5-[1-(2-oxochromen-3-yl)ethylidene]imidazol-4-one,-,-,3001637
7413,643737.0,"(5Z)-3-(4-Chlorocyclohexa-1,3-dien-1-yl)-2-(2-chloro-5-nitrophenyl)-5-[1-(2-oxochromen-3-yl)ethylidene]imidazol-4-one",-,-,3004300
7414,643740.0,3-[4-[(1Z)-1-[1-(4-Bromophenyl)-2-(2-chloro-5-nitrophenyl)-5-oxoimidazol-4-ylidene]ethyl]-N-(2-cyanoethyl)-3-methylanilino]propanenitrile,-,-,3004303
7415,643757.0,Octyl 1-dodecyl-5-hydroxy-3-methyl-1H-pyrazole-4-carbodithioate,-,-,370530
7416,643761.0,AT-417/43484827,-,-,370534
7417,643769.0,o-Bromo-.alpha.-benzoyl cinnamonitrile,-,-,6061570
7418,643779.0,-,-,-,-
7419,643812.0,antineoplastic-643812,-,-,-
7420,643813.0,"3'-O-(Carboxymethyl)-(Z)-Combretastatin 4-A, Na salt, hy...",-,-,-
7421,643826.0,"8-Aza-3,5-dioxa-4-phosphahexacosan-1-aminium, 4-hydroxy-...",-,-,131966
7422,643827.0,"8-Aza-3,5-dioxa-4-phosphahexacosan-1-aminium, 4-hydroxy-...",-,-,131972
7423,643828.0,"9-Aza-3,5-dioxa-4-phosphaheptacosan-1-aminium, 4-hydroxy...",-,-,131968
7424,643829.0,"1,1'-Hexane-1,6-diylbis(3,3-dimethyl-1,3-dihydro-2H-indol-2-one)",-,-,370576
7425,643833.0,Camptothecin Derivative,-,TOP1,6711820
7426,643835.0,"Dibutyl(bis((3,4,5-trimethoxybenzoyl)oxy))stannane",-,-,16683185
7427,643836.0,"[Diethyl-(2,3,4-trimethoxybenzoyl)oxy-stannyl] 2,3,4-trimethoxybenzoate",-,-,16683186
7428,643837.0,"Dibutyl(bis((2,4,5-trimethoxybenzoyl)oxy))stannane",-,-,16683573
7429,643838.0,[Diethyl-(2-fluorobenzoyl)oxy-stannyl] 2-fluorobenzoate,-,-,16683574
7430,643840.0,[Diethyl-(4-fluorobenzoyl)oxy-stannyl] 4-fluorobenzoate,-,-,16683575
7431,643841.0,"[Dibutyl-(2,6-difluorobenzoyl)oxy-stannyl] 2,6-difluorobenzoate",-,-,16683188
7432,643842.0,"[Dibutyl-(2,3-difluorobenzoyl)oxy-stannyl] 2,3-difluorobenzoate",-,-,16683576
7433,643843.0,"[Dibutyl-(3,5-difluorobenzoyl)oxy-stannyl] 3,5-difluorobenzoate",-,-,16683577
7434,643844.0,"[Dibutyl-(2,5-difluorobenzoyl)oxy-stannyl] 2,5-difluorobenzoate",-,-,16683578
7435,643845.0,LS-28225,-,-,16683189
7436,643846.0,"1,1,3,3-Tetraethyl-1,3-bis((3,4,5-trimethoxybenzoyl)oxy)distannoxane",-,-,16683190
7437,643847.0,Neuro_000324,-,-,16683191
7438,643848.0,"1,1,3,3-Tetrabutyl-1,3-bis((2,4,5-trimethoxybenzoyl)oxy)distannoxane",-,-,16683192
7439,643849.0,[[Diethyl-(2-fluorobenzoyl)oxy-stannyl]oxy-diethyl-stannyl] 2-fluorobenzoate,-,-,16683193
7440,643850.0,[[Diethyl-(3-fluorobenzoyl)oxy-stannyl]oxy-diethyl-stannyl] 3-fluorobenzoate,-,-,16683194
7441,643851.0,[[Diethyl-(4-fluorobenzoyl)oxy-stannyl]oxy-diethyl-stannyl] 4-fluorobenzoate,-,-,16683195
7442,643852.0,"[[(2,6-Difluorobenzoyl)oxy-diethyl-stannyl]oxy-diethyl-stannyl] 2,6-difluorobenzoate",-,-,16683196
7443,643853.0,Neuro_000325,-,-,16683197
7444,643854.0,"[dibutyl-[dibutyl-(3,5-difluorobenzoyl)oxy-stannyl]oxy-stannyl] 3,5-difluorobenzoate",-,-,16683198
7445,643855.0,Neuro_000326,-,-,16683199
7446,643856.0,[[Diethyl-(2-methoxybenzoyl)oxy-stannyl]oxy-diethyl-stannyl] 2-methoxybenzoate,-,-,16683200
7447,643857.0,[[Diethyl-(3-methoxybenzoyl)oxy-stannyl]oxy-diethyl-stannyl] 3-methoxybenzoate,-,-,16683201
7448,643858.0,[Dibutyl-[2-(4-fluorophenyl)acetyl]oxy-stannyl] 2-(4-fluorophenyl)acetate,-,-,16683202
7449,643859.0,Neuro_000327,-,-,16683203
7450,643860.0,Dibutyl(bis((3-(2-fluorophenyl)acryloyl)oxy))stannane,-,-,16683204
7451,643861.0,[Dibutyl-(2-methylsulfanylpyridine-3-carbonyl)oxy-stannyl] 2-methylsulfanylpyridine-3-carboxylate,-,-,16683205
7452,643862.0,Neuro_000328,-,-,16683206
7453,643863.0,[(3-Aminopyrazine-2-carbonyl)oxy-dibutyl-stannyl] 3-aminopyrazine-2-carboxylate,-,-,16683207
7454,643864.0,"Dibutyl-bis(4,5-dihydrothiazol-2-ylsulfanyl)stannane",-,-,9571331
7455,643910.0,Maybridge1_006365,-,-,2737412
7456,643913.0,"Ethyl 4-methyl-2-oxo-6-phenyl-3-[3,4,5-triacetyloxy-6-(acetyloxymethyl)oxan-2-yl]-1,6-dihydropyrimidine-5-carboxylate",-,-,370620
7457,643915.0,"Naphtho[2,3-d]oxazole-4,9-dione, 2-(1,1-dimethylethyl)-",-,-,370622
7458,643926.0,-,-,-,-
7459,644011.0,RCL S107441,-,-,370649
7460,644040.0,1-[4-[[4-[4-(2-Hydroxyethyl)piperazine-1-carbonyl]acridin-9-yl]amino]phenyl]sulfonylguanidine,-,-,370664
7461,644043.0,N-(4-(Aminosulfonyl)phenyl)-4-acridinecarboxamide,-,-,370667
7462,644044.0,N-(4-(((Amino(imino)methyl)amino)sulfonyl)phenyl)-4-acridinecarboxamide,-,-,370668
7463,644046.0,"4-Acridinecarboxamide, N-[4-[[(5-methyl-3-isoxazolyl)amino]sulfonyl]phenyl]-",-,-,370670
7464,644191.0,-,-,-,-
7465,644210.0,Destruxin A,-,-,370709
7466,644211.0,Chlorodestruxin,-,-,-
7467,644221.0,-,-,-,-
7468,644258.0,"1-Butoxy-4-chloro-3-methyl-1,2-dihydrophosphinine 1-oxide",-,-,370738
7469,644259.0,"4-(Dichloromethylidene)-1-ethoxy-3,5-dimethyl-1,4-dihydrophosphinine 1-oxide",-,-,370739
7470,644271.0,"4-Isopropyl-2-(1-methoxy-2-naphthyl)-4,5-dihydro-1,3-oxazole",-,-,370748
7471,644279.0,-,-,-,-
7472,644304.0,-,-,-,-
7473,644323.0,-,-,-,-
7474,644326.0,[Phenyl-[phenyl(trifluoromethylsulfonyloxy)-lambda3-iodanyl]oxy-lambda3-iodanyl] trifluoromethanesulfonate,-,-,370804
7475,644328.0,"N-((4,4-Bis(ethylthio)-2-(4-methoxybenzyl)-1-pyrrolidinyl)methylene)-N-(tert-butyl)amine",-,-,370806
7476,644340.0,"Diethyl 5,10-dimethyl-5,7,8,10-tetrazatricyclo[7.3.0.02,6]dodeca-1(9),2(6),3,11-tetraene-7,8-dicarboxylate",-,-,370817
7477,644474.0,N'-(4-Chlorobenzoyl)-N-[(E)-1-(2-hydroxyphenyl)ethylideneamino]-N'-(4-methylphenyl)propanediamide,-,-,135499196
7478,644579.0,"4-(1,5,5a,6,9,9a-Hexahydro-2,4-benzodioxepin-3-yl)benzonitrile",-,-,370857
7479,644582.0,"Hydrazinecarboximidamide, 2-[(1H-indol-3-yl)methylene]- ...",-,-,-
7480,644607.0,"2-[[2-[4-[(E)-2-Chloro-1,2-diphenylethenyl]phenoxy]ethyl]amino]ethanol",-,-,5466853
7481,644614.0,"1-[2-[4-[(E)-2-Chloro-1,2-diphenylethenyl]phenoxy]ethyl]-2,4,6-trimethylpyridin-1-ium;perchlorate",-,-,24202368
7482,644621.0,-,-,-,-
7483,644622.0,"3,5-Dichloro-2-[(3,5-dimethoxy-4-oxocyclohexa-2,5-dien-1-ylidene)amino]phenyl 4-nitrobenzoate",-,-,370888
7484,644644.0,"N-(4-Bromophenyl)-4-phenyl-1,2,3,8-tetrazatricyclo[7.4.0.02,6]trideca-3,5,8,10,12-pentaen-7-imine",-,-,370906
7485,644649.0,Megaphone acetate,-,-,-
7486,644651.0,methoxymethyldispiro[[?]]one,-,-,370913
7487,644720.0,MYQDQLNZLSSLJX-UHFFFAOYSA-N,-,-,370919
7488,644727.0,Methyl N-[(Z)-[2-(3-nitroanilino)-1-(6-nitro-3-oxo-4H-quinoxalin-2-yl)-2-oxoethylidene]amino]carbamate,-,-,135499200
7489,644747.0,"4-(3,4-Dichlorophenyl)-2,4-dioxo-3-(3-oxo-1H-2-benzofuran-1-yl)-N-(2,4,5-trichlorophenyl)butanamide",-,-,370942
7490,644751.0,"4-[2-[(3,4-Dioxonaphthalen-1-yl)amino]phenyl]-2,4-dioxo-N-[3-(trifluoromethyl)phenyl]butanamide",-,-,370946
7491,644761.0,"4-(3,4-Dichlorophenyl)-N-(2,4-dinitrophenyl)-2,4-dioxo-3-(3-oxo-1H-2-benzofuran-1-yl)butanamide",-,-,370956
7492,644772.0,"N-(4-Bromo-2,6-dimethylphenyl)-4-(3,4-dichlorophenyl)-2,4-dioxo-3-(3-oxo-1H-2-benzofuran-1-yl)butanamide",-,-,370967
7493,644773.0,"Methyl 4-amino-2-(2-(3,5-diphenyl-1H-pyrazol-1-yl)-1,3-thiazol-4-yl)-3,4-dioxobutanoate",-,-,370968
7494,644779.0,"N-(5-Amino-1H-1,2,4-triazol-3-yl)-6-chloro-1,1-dioxo-7-sulfamoyl-4H-1lambda6,2,4-benzothiadiazine-3-carboxamide",-,-,3004318
7495,644780.0,"Methyl 2-[2-(3,5-diphenylpyrazol-1-yl)-1,3-thiazol-4-yl]-3,4-dioxo-4-[(5-sulfanylidene-1,2-dihydro-1,2,4-triazol-3-yl)amino]butanoate",-,-,3004319
7496,644789.0,-,-,-,-
7497,644790.0,"N-(4-Acetylphenyl)-4-(3,4-dichlorophenyl)-2,4-dioxo-3-(3-oxo-1H-2-benzofuran-1-yl)butanamide",-,-,370984
7498,644793.0,"2-[2-(4-Amino-5-sulfanylidene-1H-1,2,4-triazol-3-yl)hydrazinyl]-2-oxo-N-(2,4,5-trichlorophenyl)acetamide",-,-,3000683
7499,644811.0,"Acetic acid;[(2S,8R,10S)-6-(hydroxymethyl)-2,6,13-trimethyl-12-oxo-8-tetracyclo[11.2.1.01,10.02,7]hexadecanyl] benzoate",-,-,370991
7500,644860.0,"2-[5-[1-(2-Hydroxyethyl)-3,7,8,8a-tetrahydro-2H-imidazo[1,2-a]pyridin-6-yl]-3,5,6,7,8,8a-hexahydro-2H-imidazo[1,2-a]pyridin-1-yl]ethanol",-,-,370999
7501,644864.0,Isopropyl 2-(bis(acetyloxy)methyl)nicotinate,-,-,371001
7502,644877.0,6-((Hydroxyimino)methyl)-3-pyridinyl diethylcarbamate,-,-,135499213
7503,644881.0,"(NE)-N-[[3-(3,4,4-trimethyl-5H-1,3-oxazol-3-ium-2-yl)pyridin-2-yl]methylidene]hydroxylamine;iodide",-,-,135499214
7504,644902.0,"Benzo[b]naphtho[2,3-d]furan-6,11-dione, 4-chloro-3-hydroxy",-,-,371025
7505,644906.0,-,-,-,-
7506,644908.0,"(Z)-1,3-Diphenyl-3-triphenylplumbyloxy-prop-2-en-1-one",-,-,16683210
7507,644909.0,-,-,-,-
7508,644911.0,"(Z)-3-[[(Z)-3-Oxo-1,3-diphenyl-prop-1-enoxy]-diphenyl-stannyl]oxy-1,3-diphenyl-prop-2-en-1-one",-,-,16683213
7509,644915.0,"2-Diphenylthallanyloxycyclohepta-2,4,6-trien-1-one",-,-,16684399
7510,644916.0,ANTINEOPLASTIC-644916,-,-,16684400
7511,644919.0,-,-,-,-
7512,644920.0,"(Z)-3-[Diiodo-[(Z)-3-oxo-1,3-diphenyl-prop-1-enoxy]stannyl]oxy-1,3-diphenyl-prop-2-en-1-one",-,-,16683217
7513,644921.0,-,-,-,-
7514,644922.0,-,-,-,-
7515,644923.0,"2-Trimethylstannyloxycyclohepta-2,4,6-trien-1-one",-,-,16683219
7516,644924.0,"2-[Dibutyl-(7-oxocyclohepta-1,3,5-trien-1-yl)oxy-stannyl]oxycyclohepta-2,4,6-trien-1-one",-,-,16683220
7517,644925.0,"2-[(7-Oxocyclohepta-1,3,5-trien-1-yl)oxy-diphenyl-stannyl]oxycyclohepta-2,4,6-trien-1-one",-,-,16683221
7518,644926.0,"2,4,6-Cycloheptatrien-1-one, 2-[(tricyclohexylstannyl)oxy]-",-,-,16683222
7519,644933.0,-,-,-,-
7520,644934.0,Bisacetylacetone ethylenediimine tin,-,-,-
7521,644945.0,"Furo[3',4':6,7]naphtho[2,3-d]-1,3-dioxol-6-one, 5,5a,6,8...",-,-,371049
7522,644946.0,"Furo[3',4':6,7]naphtho[2,3-d]-1,3-dioxol-6(5aH)-one, 9-(...",-,-,371051
7523,644947.0,"(5S,5As)-5-[4-(dimethylamino)anilino]-9-(4-hydroxy-3,5-dimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[5,6-f][1,3]benzodioxol-8-one;hydrochloride",-,-,371053
7524,644949.0,KUC100227,-,-,371056
7525,644959.0,MCS-687,-,-,371060
7526,644960.0,MCS-688,-,-,371061
7527,644961.0,MCS-689,-,-,371062
7528,644966.0,MCS-694,-,-,371067
7529,644967.0,2-Acetamido-N-benzyl-6-[benzyl-[2-chloroethyl(nitroso)carbamoyl]amino]hexanamide,-,-,371068
7530,645008.0,intoplicine,-,-,371069
7531,645016.0,-,-,-,-
7532,645017.0,"1,4-bis[(2-Aminoethyl)amino]-5,8-dihydroxyanthraquinone",-,-,125982
7533,645018.0,"1,4-bis(N-Cysteinyldiethylamino)-5,8-dihydroxy anthraquinon",-,-,438534
7534,645019.0,Jayama,-,-,-
7535,645020.0,Galiellalactone,-,-,6711856
7536,645052.0,"3-(2,4,6-Trimethylphenyl)-4-(2-tetrahydropyrimidinyl)-5-...",-,-,371105
7537,645069.0,1-(4-((1H-Benzimidazol-2-ylmethyl)amino)phenyl)-3-phenyl-2-propen-1-one,-,-,6105764
7538,645070.0,(E)-1-[4-(1H-Benzimidazol-2-ylmethylamino)phenyl]-3-(4-bromophenyl)prop-2-en-1-one,-,-,5839697
7539,645087.0,"Thiopyrano[3,2-c]pyrazol-3(2H)-one, 1,5,6,7-tetrahydro-1...",-,-,371127
7540,645115.0,"Carbamothioic acid, [4-chloro-3-(2-butenyloxy)phenyl]-, ...",-,-,-
7541,645145.0,"Benzeneamine, 4-[(9-acridinyl)thio]-",-,-,371141
7542,645150.0,6-Chloro-2-methoxy-9-[(2-methyl-4-nitrophenyl)sulfanyl]acridine,-,-,371146
7543,645151.0,"3-Acridineamine, 9-[[(4-nitrophenyl)methyl]thio]-",-,-,371147
7544,645153.0,"1,1'-Biphenyl-2,2'-diamine, N,N'-bis[2-[9(10H)thioxo-3-a...",-,-,3004325
7545,645157.0,"4,7-[Bis-N,N'-(3-amino-9-thioacetamido)-acridine]-biphenyl",-,-,371156
7546,645158.0,3-Nitro-N-[2-[2-[(3-nitroacridin-9-yl)amino]phenyl]phenyl]acridin-9-amine,-,-,3694250
7547,645159.0,6-Chloro-N-[2-[2-[(6-chloro-2-methoxyacridin-9-yl)amino]phenyl]phenyl]-2-methoxyacridin-9-amine,-,-,371158
7548,645161.0,"1,9-Bis(2-(diethylamino)ethyl)-10-methylpyrido[3,2-g]quinoline-4,6(1H,9H)-dione",-,-,371160
7549,645162.0,BG-461,-,-,371161
7550,645163.0,9-[(2-Methyl-4-nitrophenyl)sulfanyl]acridine,-,-,371162
7551,645164.0,N-(4-((6-Chloro-2-methoxy-9-acridinyl)thio)phenyl)acetamide,-,-,371163
7552,645166.0,Diethyl 2-[[4-[[3-phenyl-7-(trifluoromethyl)quinoxalin-2-yl]methylideneamino]benzoyl]amino]pentanedioate,-,-,371165
7553,645167.0,diethyl 2-[[4-[[methoxy-[3-phenyl-7-(trifluoromethyl)quinoxalin-2-yl]methyl]amino]benzoyl]amino]pentanedioate,-,-,371166
7554,645168.0,"N~2~-(3,4-Dimethoxyphenyl)-3-phenyl-6-(trifluoromethyl)-2,8-quinoxalinediamine",-,-,371167
7555,645170.0,"3-Phenyl-6-(trifluoromethyl)quinoxaline-2,8-diamine",-,-,371169
7556,645205.0,NKLB,-,-,-
7557,645207.0,"2-[(4-Fluoro-alpha-oxophenethyl)amino]-3-chloro-1,4-naphthoquinone",-,-,371175
7558,645210.0,"1,4-Naphthalenedione, 2-chloro-3-[[2-(2-fluorophenyl)- 1...",-,-,371178
7559,645214.0,"9-Ethoxy-2-[1-(2-fluorophenyl)propyl]-4H-naphtho[2,3-d]imidazol-4-one",-,-,371182
7560,645238.0,"[Sulfanediyldi(4,1-phenylene)]bis(diphenylsulfanium) bis[hexafluoridophosphate(1-)]",-,-,498987
7561,645253.0,7-Hydroxy-1-(4-methoxybenzyl)-2-methylisoquinolin-6(2H)-one,-,-,371203
7562,645257.0,"8-((2-Bromo-4,5-dimethoxybenzylidene)amino)-2-naphthyl 4-(hydroxy(oxido)amino)benzenesulfonate",-,-,371207
7563,645260.0,"8-((2-Bromo-4,5-dimethoxybenzylidene)amino)-2-naphthyl 3-(hydroxy(oxido)amino)benzenesulfonate",-,-,371211
7564,645265.0,"1-(2-(2,5-Dimethoxyphenyl)ethyl)-4,5-dimethoxy-2-methylbenzene",-,-,371216
7565,645283.0,"3-(2-(4-Methoxyphenyl)ethyl)-1-methyl-2,4(1H,3H)-quinazolinedione",-,-,371226
7566,645301.0,-,-,-,-
7567,645302.0,"6-Ethoxy-8,9-dimethoxy-5-methyl-5,6-dihydrobenzo[c]phenanthridine",-,-,371245
7568,645304.0,"N-(2-Chlorobenzylidene)-6,7-dimethoxy-1-naphthalenamine",-,-,371247
7569,645305.0,-,-,-,-
7570,645306.0,-,-,-,-
